date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2011-11-08,sh.000986,3457.2600,3505.1200,3450.6000,3474.3000,3447.2900,645106700,8856260000.0000,3,0.002175,1,0.783514,1
2011-11-09,sh.000986,3492.3800,3515.5900,3446.0800,3500.1800,3474.3000,515423800,7298860000.0000,3,0.001738,1,0.744895,1
2011-11-10,sh.000986,3457.7500,3477.6500,3432.8600,3434.0300,3500.1800,485385900,6757780000.0000,3,0.001636,1,-1.889900,1
2011-11-11,sh.000986,3458.7100,3476.4200,3418.5600,3432.1400,3434.0300,393591000,5647070000.0000,3,0.001327,1,-0.055041,1
2011-11-14,sh.000986,3468.5400,3529.9600,3466.9500,3529.5600,3432.1400,552761300,8944090000.0000,3,0.001864,1,2.838467,1
2011-11-15,sh.000986,3529.3200,3547.8800,3519.0600,3535.0900,3529.5600,411088700,6786570000.0000,3,0.001386,1,0.156678,1
2011-11-16,sh.000986,3535.6600,3536.5100,3403.9200,3421.6000,3535.0900,502798700,7523570000.0000,3,0.001695,1,-3.210385,1
2011-11-17,sh.000986,3430.3300,3465.4500,3415.3200,3424.3100,3421.6000,318806000,4822210000.0000,3,0.001075,1,0.079202,1
2011-11-18,sh.000986,3389.8300,3391.0600,3317.2700,3325.6100,3424.3100,346266700,5111210000.0000,3,0.001167,1,-2.882331,1
2011-11-21,sh.000986,3324.0300,3334.1300,3272.2200,3310.3900,3325.6100,277816600,4218110000.0000,3,0.000937,1,-0.457667,1
2011-11-22,sh.000986,3282.5300,3304.9300,3248.1800,3295.0200,3310.3900,244648000,3541430000.0000,3,0.000825,1,-0.464292,1
2011-11-23,sh.000986,3302.3900,3307.4300,3245.7800,3247.5500,3295.0200,235755000,3543330000.0000,3,0.000795,1,-1.440658,1
2011-11-24,sh.000986,3219.4400,3263.6800,3193.6000,3238.4300,3247.5500,255886400,3686430000.0000,3,0.000863,1,-0.280831,1
2011-11-25,sh.000986,3232.4600,3256.7800,3204.0200,3216.0400,3238.4300,217263200,3022240000.0000,3,0.000732,1,-0.691381,1
2011-11-28,sh.000986,3226.5000,3247.3300,3208.6800,3230.1500,3216.0400,221571200,3117920000.0000,3,0.000747,1,0.438734,1
2011-11-29,sh.000986,3263.2400,3292.5500,3244.0800,3291.8100,3230.1500,287573700,4330050000.0000,3,0.000970,1,1.908895,1
2011-11-30,sh.000986,3285.5700,3285.5700,3139.6500,3164.7800,3291.8100,376535200,5241520000.0000,3,0.001269,1,-3.858972,1
2011-12-01,sh.000986,3259.4300,3301.7700,3234.9800,3239.4600,3164.7800,473118200,7263360000.0000,3,0.001595,1,2.359720,1
2011-12-02,sh.000986,3221.3900,3222.0300,3164.2000,3185.2300,3239.4600,241902400,3439240000.0000,3,0.000816,1,-1.674044,1
2011-12-05,sh.000986,3183.4500,3185.6100,3120.9700,3126.3700,3185.2300,230379900,3330040000.0000,3,0.000777,1,-1.847900,1
2011-12-06,sh.000986,3116.4400,3144.5800,3107.3300,3133.2000,3126.3700,203938600,2699110000.0000,3,0.000688,1,0.218459,1
2011-12-07,sh.000986,3135.9800,3151.9000,3121.2300,3141.1500,3133.2000,156578000,2063300000.0000,3,0.000528,1,0.253733,1
2011-12-08,sh.000986,3140.5100,3162.5300,3087.4300,3131.4700,3141.1500,193817300,2793740000.0000,3,0.000653,1,-0.308165,1
2011-12-09,sh.000986,3108.6600,3131.0400,3097.4700,3108.6600,3131.4700,190386000,2559930000.0000,3,0.000642,1,-0.728414,1
2011-12-12,sh.000986,3105.9900,3108.1200,3063.9200,3065.4300,3108.6600,220137200,2736140000.0000,3,0.000742,1,-1.390631,1
2011-12-13,sh.000986,3050.0900,3050.2000,2974.3300,2980.1700,3065.4300,312339700,3800790000.0000,3,0.001053,1,-2.781339,1
2011-12-14,sh.000986,2979.4800,3005.2500,2931.7700,2935.1700,2980.1700,250886100,2934750000.0000,3,0.000846,1,-1.509981,1
2011-12-15,sh.000986,2911.0200,2911.0200,2812.6200,2812.7800,2935.1700,304176700,3882770000.0000,3,0.001025,1,-4.169772,1
